nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion,financiacion_total_por_acciones_log,ultima_financiacion_por_acciones_log,monto_de_ultima_financiacion_log,financiacion_total_log,seguidores_en_linkedin_log,seguidores_en_facebook_log,seguidores_en_twitter_log,empleados_en_linkedin_log,años_desde_ultima_financiacion_log,cluster_kmeans
Jitsu,2019-09-01,0,0,active,Software y Servicios B2B,5,3.0,474.0,0.0,501,2,2.0,0,2,2000000.0,2000000.0,0,6,1.0,2000000.0,2,seed,2020-12-02,2000000.0,4.605479452054794,14.508658238524095,14.508658238524095,14.508658238524095,14.508658238524095,6.163314804034641,0.0,6.218600119691729,1.3862943611198906,1.7237445929290802,0
Sakneen,2019-09-01,0,0,active,Bienes Raíces y Construcción,5,17.0,4000.0,15000.0,86,7,2.0,0,2,1250000.0,1100000.0,0,6,2.0,1250000.0,2,seed,2021-02-07,1100000.0,4.421917808219178,14.038654909278163,13.910821646859095,13.910821646859095,14.038654909278163,8.294299608857235,9.61587214452889,4.465908118654584,2.8903717578961645,1.6904495920200742,0
Phonic,2019-09-01,0,0,active,Software y Servicios B2B,5,33.0,802.0,305.0,80,9,2.0,0,2,2342794.0,2760000.0,0,5,2.0,2342794.0,3,seed,2021-10-06,2760000.0,3.761643835616439,14.666855218997092,14.830741600012107,14.830741600012107,14.666855218997092,6.688354713946762,5.723585101952381,4.394449154672439,3.5263605246161616,1.560592952242846,0
Volopay,2019-08-20,0,0,active,Finanzas,5,147.0,47000.0,416.0,271,35,2.0,0,2,31325000.0,29000000.0,0,20,4.0,31325000.0,5,series_a,2022-02-28,29000000.0,3.364383561643836,17.25992709066979,17.182806422433504,17.182806422433504,17.25992709066979,10.757924157061597,6.0330862217988015,5.605802066295998,4.997212273764115,1.473476956327557,1
Zumo Labs,2019-08-13,0,0,active,Software y Servicios B2B,5,2.0,221.0,0.0,72,0,4.0,1,3,150000.0,150000.0,0,2,1.0,150000.0,1,pre_seed,2020-03-16,150000.0,5.32054794520548,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,5.402677381872279,0.0,4.290459441148391,1.0986122886681098,1.8438059045912623,0
BuildStream,2019-08-08,0,0,active,Bienes Raíces y Construcción,5,13.0,5000.0,0.0,0,0,4.0,0,4,2115776.0,1700000.0,0,5,3.0,2115776.0,5,pre_seed,2022-01-17,1700000.0,3.4794520547945207,14.564932678883043,14.346139397261565,14.346139397261565,14.564932678883043,8.517393171418904,0.0,0.0,2.6390573296152584,1.4995007297488623,0
Facio,2019-08-01,0,0,active,Finanzas,5,55.0,6000.0,0.0,0,0,3.0,0,3,17500000.0,11000000.0,0,9,2.0,17500000.0,4,series_a,2024-08-08,11000000.0,0.9205479452054794,16.677711496036597,16.213405921671733,16.213405921671733,16.677711496036597,8.699681400989514,0.0,0.0,4.02535169073515,0.6526105334520986,1
BukuWarung,2019-08-01,0,0,active,Finanzas,5,232.0,20000.0,23000.0,0,35,4.0,1,3,80000000.0,60000000.0,0,30,6.0,80000000.0,6,series_a,2021-06-10,60000000.0,4.084931506849316,18.197537205138154,17.909855136853043,17.909855136853043,18.197537205138154,9.90353755128617,10.043292972227004,0.0,5.4510384535657,1.6262815597636546,1
Hent,2019-08-01,0,0,active,Finanzas,5,9.0,2000.0,54.0,0,6,3.0,0,3,1096410.0,500000.0,0,4,4.0,1096410.0,3,seed,2021-09-01,500000.0,3.857534246575343,13.907552676195172,13.122365377402328,13.122365377402328,13.907552676195172,7.601402334583733,4.007333185232471,0.0,2.302585092994046,1.5805309524917164,0
Nextmv,2019-07-19,0,0,active,Software y Servicios B2B,5,17.0,16000.0,0.0,320,12,2.0,1,1,19385000.0,8000000.0,0,14,4.0,19385000.0,4,series_a,2022-11-20,8000000.0,2.638356164383562,16.780010180673443,15.894952224644102,15.894952224644102,16.780010180673443,9.680406499268875,0.0,5.771441123130016,2.8903717578961645,1.2915319764538877,1
GuruHotel,2019-07-09,0,0,active,Finanzas,6,14.0,7000.0,0.0,264,8,3.0,0,3,2790000.0,300000.0,0,9,1.0,2790000.0,6,seed,2022-11-29,300000.0,2.6136986301369864,14.841552512220423,12.611541086966115,12.611541086966115,14.841552512220423,8.853808274977197,0.0,5.579729825986222,2.70805020110221,1.284731799134823,0
onetool,2019-07-01,1,0,active,Software y Servicios B2B,6,4.0,427.0,0.0,0,1,2.0,0,2,1700000.0,1700000.0,0,4,1.0,1700000.0,1,pre_seed,2020-07-10,1700000.0,5.002739726027397,14.346139397261565,14.346139397261565,14.346139397261565,14.346139397261565,6.059123195581797,0.0,0.0,1.6094379124341003,1.792215986012975,0
Listle,2019-07-01,0,0,active,Software y Servicios B2B,6,3.0,249.0,0.0,0,0,2.0,1,1,150000.0,150000.0,0,1,1.0,150000.0,1,seed,2019-08-19,150000.0,5.895890410958904,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,5.521460917862246,0.0,0.0,1.3862943611198906,1.9309256415528244,0
Hutsy,2019-07-01,0,0,active,Bienes Raíces y Construcción,6,2.0,74.0,0.0,26,1,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,4.31748811353631,0.0,3.295836866004329,1.0986122886681098,1.9309256415528244,0
Fitia,2019-06-17,0,0,active,Salud,6,27.0,6000.0,0.0,0,0,2.0,0,2,125000.0,125000.0,0,3,1.0,125000.0,2,pre_seed,2021-08-31,125000.0,3.86027397260274,11.736077016252437,11.736077016252437,11.736077016252437,11.736077016252437,8.699681400989514,0.0,0.0,3.332204510175204,1.5810948092870334,0
GIMO,2019-06-14,0,0,active,Finanzas,6,50.0,3000.0,9500.0,0,10,1.0,0,1,19500000.0,12000000.0,0,10,2.0,19500000.0,5,series_a,2023-07-24,12000000.0,1.964383561643836,16.785925074816024,16.300417291085605,16.300417291085605,16.785925074816024,8.006700845440367,9.15915233520675,0.0,3.9318256327243257,1.0866691058239355,1
Revel,2019-06-01,1,0,active,Consumo,6,4.0,801.0,3600.0,818,1,2.0,2,0,6150000.0,3500000.0,0,10,3.0,6150000.0,3,seed,2021-08-02,3500000.0,3.93972602739726,15.631962802384313,15.068273812173887,15.068273812173887,15.631962802384313,6.687108607866515,8.188966863648876,6.70808408385307,1.6094379124341003,1.5973098696208257,0
Jenfi,2019-05-17,0,0,active,Finanzas,6,37.0,9000.0,1000.0,344,30,2.0,0,2,15260000.0,6600000.0,1,19,4.0,41160000.0,7,series_b,2023-05-15,6600000.0,2.156164383561644,16.540745649351383,15.702580358511794,15.702580358511794,17.532977493225555,9.105090961257085,6.90875477931522,5.84354441703136,3.6375861597263857,1.1493574876733452,1
FamPay,2019-05-09,0,0,active,Finanzas,6,100.0,49000.0,0.0,0,37,2.0,0,2,42850000.0,38000000.0,0,22,4.0,42850000.0,3,series_a,2021-06-16,38000000.0,4.068493150684931,17.573216226345284,17.453096744006448,17.453096744006448,17.573216226345284,10.799595985047786,0.0,0.0,4.61512051684126,1.623043564489879,1
