nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
Bego,2019-09-19,0,0,active,Consumo,5,90.0,10000.0,26000.0,0,1,1.0,0,1,14000000.0,14000000.0,0,15,2.0,14000000.0,2,seed,2021-05-06,14000000.0,4.1808219178082195
Pulley,2019-09-16,0,0,active,Finanzas,5,83.0,16000.0,0.0,0,19,1.0,1,0,50150000.0,40000000.0,0,14,2.0,50150000.0,3,series_b,2022-07-13,40000000.0,2.9945205479452053
Luminai,2019-09-12,0,0,active,Software y Servicios B2B,5,48.0,5000.0,0.0,556,3,2.0,0,2,19800000.0,16000000.0,0,23,4.0,19800000.0,4,series_a,2022-04-11,16000000.0,3.249315068493151
Sameplan,2019-09-09,0,0,active,Software y Servicios B2B,5,2.0,139.0,0.0,0,0,2.0,0,2,625000.0,500000.0,0,2,1.0,625000.0,2,seed,2020-11-03,500000.0,4.684931506849315
Farcast,2019-09-04,0,8,active,Software y Servicios B2B,5,14.0,926.0,0.0,0,2,1.0,0,1,13587000.0,8000000.0,0,17,2.0,13587000.0,3,series_a,2022-12-30,8000000.0,2.5287671232876714
Benepass,2019-09-01,0,0,active,Finanzas,5,74.0,6000.0,83.0,98,21,3.0,1,2,34734996.0,20000000.0,0,16,4.0,34734996.0,4,series_b,2024-01-31,20000000.0,1.441095890410959
Ochre Bio,2019-09-01,0,0,active,Salud,5,66.0,10000.0,0.0,790,51,2.0,0,2,39750000.0,30000000.0,0,20,1.0,39750000.0,4,series_a,2022-10-10,30000000.0,2.750684931506849
TrueNorth,2019-09-01,0,0,active,Software y Servicios B2B,5,43.0,2000.0,0.0,57,11,2.0,0,2,62100000.0,50000000.0,0,23,4.0,62100000.0,5,series_b,2021-12-08,50000000.0,3.589041095890411
Duffl,2019-09-01,1,0,active,Consumo,5,37.0,2000.0,497.0,312,1,5.0,0,5,13292000.0,12000000.0,0,20,2.0,13292000.0,3,series_a,2021-10-01,12000000.0,3.7753424657534245
Jitsu,2019-09-01,0,0,active,Software y Servicios B2B,5,3.0,474.0,0.0,501,2,2.0,0,2,2000000.0,2000000.0,0,6,1.0,2000000.0,2,seed,2020-12-02,2000000.0,4.605479452054794
Sakneen,2019-09-01,0,0,active,Bienes Raíces y Construcción,5,17.0,4000.0,15000.0,86,7,2.0,0,2,1250000.0,1100000.0,0,6,2.0,1250000.0,2,seed,2021-02-07,1100000.0,4.421917808219178
Phonic,2019-09-01,0,0,active,Software y Servicios B2B,5,33.0,802.0,305.0,80,9,2.0,0,2,2342794.0,2760000.0,0,5,2.0,2342794.0,3,seed,2021-10-06,2760000.0,3.7616438356164386
Volopay,2019-08-20,0,0,active,Finanzas,5,147.0,47000.0,416.0,271,35,2.0,0,2,31325000.0,29000000.0,0,20,4.0,31325000.0,5,series_a,2022-02-28,29000000.0,3.3643835616438356
Zumo Labs,2019-08-13,0,0,active,Software y Servicios B2B,5,2.0,221.0,0.0,72,0,4.0,1,3,150000.0,150000.0,0,2,1.0,150000.0,1,pre_seed,2020-03-16,150000.0,5.32054794520548
BuildStream,2019-08-08,0,0,active,Bienes Raíces y Construcción,5,13.0,5000.0,0.0,0,0,4.0,0,4,2115776.0,1700000.0,0,5,3.0,2115776.0,5,pre_seed,2022-01-17,1700000.0,3.4794520547945207
Facio,2019-08-01,0,0,active,Finanzas,5,55.0,6000.0,0.0,0,0,3.0,0,3,17500000.0,11000000.0,0,9,2.0,17500000.0,4,series_a,2024-08-08,11000000.0,0.9205479452054794
BukuWarung,2019-08-01,0,0,active,Finanzas,5,232.0,20000.0,23000.0,0,35,4.0,1,3,80000000.0,60000000.0,0,30,6.0,80000000.0,6,series_a,2021-06-10,60000000.0,4.0849315068493155
Hent,2019-08-01,0,0,active,Finanzas,5,9.0,2000.0,54.0,0,6,3.0,0,3,1096410.0,500000.0,0,4,4.0,1096410.0,3,seed,2021-09-01,500000.0,3.8575342465753426
Nextmv,2019-07-19,0,0,active,Software y Servicios B2B,5,17.0,16000.0,0.0,320,12,2.0,1,1,19385000.0,8000000.0,0,14,4.0,19385000.0,4,series_a,2022-11-20,8000000.0,2.638356164383562
GuruHotel,2019-07-09,0,0,active,Finanzas,6,14.0,7000.0,0.0,264,8,3.0,0,3,2790000.0,300000.0,0,9,1.0,2790000.0,6,seed,2022-11-29,300000.0,2.6136986301369864
onetool,2019-07-01,1,0,active,Software y Servicios B2B,6,4.0,427.0,0.0,0,1,2.0,0,2,1700000.0,1700000.0,0,4,1.0,1700000.0,1,pre_seed,2020-07-10,1700000.0,5.002739726027397
Listle,2019-07-01,0,0,active,Software y Servicios B2B,6,3.0,249.0,0.0,0,0,2.0,1,1,150000.0,150000.0,0,1,1.0,150000.0,1,seed,2019-08-19,150000.0,5.895890410958904
Hutsy,2019-07-01,0,0,active,Bienes Raíces y Construcción,6,2.0,74.0,0.0,26,1,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904
