founder_name;company_name;last_funding_type;gender
Shubham Choudhary;FirstWork;seed;male
Vardhan Kapoor;FirstWork;seed;male
Gunwoo Kim;Cuckoo;pre_seed;male
Yong Hee Lee;Cuckoo;pre_seed;male
Augustin Baudoin;Rastro;pre_seed;male
Baptiste Cumin;Rastro;pre_seed;male
Papa Sougou Wele;Rastro;pre_seed;male
John Robison;Standard Data;pre_seed;male
Shaashwat Sharma;Standard Data;pre_seed;male
David de Rothschild;Weel;pre_seed;male
Raphael Krief;Weel;pre_seed;male
Alex Rudolph;Invoke Labs;pre_seed;male
Tyler Postle;Invoke Labs;pre_seed;male
David Chu;Fortress;pre_seed;male
Will Hopkins;Fortress;pre_seed;male
Dean Valentine;ZeroPath;seed;male
Etienne Lunetta;ZeroPath;seed;male
Nathan Hrncirik;ZeroPath;seed;male
Raphael Karger;ZeroPath;seed;male
Maxime Allouch;Vera Health;pre_seed;male
Taieb Bennani;Vera Health;pre_seed;male
Leopold von Waldthausen;Zeit AI;pre_seed;male
Marvin Christopher Bornstein;Zeit AI;pre_seed;male
Brandon Severin;Conductor Quantum;pre_seed;male
Joel Pendleton;Conductor Quantum;pre_seed;male
Alix Maurin;Mindely;pre_seed;female
Clément Nguyen;Mindely;pre_seed;male
Joseph Thalinjan;Mindely;pre_seed;male
Sasha Collin;Mindely;pre_seed;female
Ciarán O' Rourke;RunLocal AI;pre_seed;male
Ismail Salim;RunLocal AI;pre_seed;male
Ivan Chan;RunLocal AI;pre_seed;male
Jack Cameron;Saldor;pre_seed;male
Jacob Bland;Saldor;pre_seed;male
Geoffrey Négiar;The Forecasting Company;pre_seed;male
Joachim Fainberg;The Forecasting Company;pre_seed;male
Amay Aggarwal;Anglera;pre_seed;male
Ray Iyer;Anglera;pre_seed;male
Nitish Poddar;Kastle;pre_seed;male
Rishi Choudhary;Kastle;pre_seed;male
Bolu Ben-Adeola;AnswerGrid;pre_seed;male
Noah Ohrner;AnswerGrid;pre_seed;male
Daniel Francis;Abel Police;seed;male
Caelean Barnes;Gauge;pre_seed;male
Evan Doyle;Gauge;pre_seed;male
Bernardo Simonassi;BlindPay;pre_seed;male
Gabriel Lyra;BlindPay;pre_seed;male
Gustavo Marinho;BlindPay;pre_seed;male
