founder_name,company_name,last_funding_type,gender
Filip Stål,Bluebook,pre_seed,
Jonathan Andersson,Bluebook,pre_seed,
Philip Andersson,Bluebook,pre_seed,
Jarren Reid,Usul,seed,
Joonghyun Lee,Usul,seed,
Oliver Gomez,Usul,seed,
Matan Goldner,Conntour,seed,
Tomer Kulla,Conntour,seed,
David (Wenbo) Zhu,Hey Revia,pre_seed,
Shaun Wei,Hey Revia,pre_seed,
Glenn Espinosa,Luthor,pre_seed,
John Espinosa,Luthor,pre_seed,
Oli Wales,Arva AI,seed,
Rhim Shah,Arva AI,seed,
Shubham Choudhary,FirstWork,seed,
Vardhan Kapoor,FirstWork,seed,
Gunwoo Kim,Cuckoo,pre_seed,
Yong Hee Lee,Cuckoo,pre_seed,
Augustin Baudoin,Rastro,pre_seed,
Baptiste Cumin,Rastro,pre_seed,
Papa Sougou Wele,Rastro,pre_seed,
John Robison,Standard Data,pre_seed,
Shaashwat Sharma,Standard Data,pre_seed,
David de Rothschild,Weel,pre_seed,
Raphael Krief,Weel,pre_seed,
Alex Rudolph,Invoke Labs,pre_seed,
Tyler Postle,Invoke Labs,pre_seed,
David Chu,Fortress,pre_seed,
Will Hopkins,Fortress,pre_seed,
Dean Valentine,ZeroPath,seed,
Etienne Lunetta,ZeroPath,seed,
Nathan Hrncirik,ZeroPath,seed,
Raphael Karger,ZeroPath,seed,
Maxime Allouch,Vera Health,pre_seed,
Taieb Bennani,Vera Health,pre_seed,
Leopold von Waldthausen,Zeit AI,pre_seed,
Marvin Christopher Bornstein,Zeit AI,pre_seed,
Brandon Severin,Conductor Quantum,pre_seed,
Joel Pendleton,Conductor Quantum,pre_seed,
Alix Maurin,Mindely,pre_seed,
Clément Nguyen,Mindely,pre_seed,
Joseph Thalinjan,Mindely,pre_seed,
Sasha Collin,Mindely,pre_seed,
Ciarán O' Rourke,RunLocal AI,pre_seed,
Ismail Salim,RunLocal AI,pre_seed,
Ivan Chan,RunLocal AI,pre_seed,
Jack Cameron,Saldor,pre_seed,
Jacob Bland,Saldor,pre_seed,
Geoffrey Négiar,The Forecasting Company,pre_seed,
Joachim Fainberg,The Forecasting Company,pre_seed,
Amay Aggarwal,Anglera,pre_seed,
Ray Iyer,Anglera,pre_seed,
Nitish Poddar,Kastle,pre_seed,
Rishi Choudhary,Kastle,pre_seed,
Bolu Ben-Adeola,AnswerGrid,pre_seed,
Noah Ohrner,AnswerGrid,pre_seed,
Daniel Francis,Abel Police,seed,
Caelean Barnes,Gauge,pre_seed,
Evan Doyle,Gauge,pre_seed,
Bernardo Simonassi,BlindPay,pre_seed,
Gabriel Lyra,BlindPay,pre_seed,
Gustavo Marinho,BlindPay,pre_seed,
João Borges,BlindPay,pre_seed,
Christian DalSanto,Maitai,seed,
Ian Hoegen,Maitai,seed,
Catheryn Li,Simple AI,pre_seed,
Zach Kamran,Simple AI,pre_seed,
Boris Toledano,Linkup,pre_seed,
Denis Charrier,Linkup,pre_seed,
Philippe Mizrahi,Linkup,pre_seed,
Alessandro Vecchi,Sorcerer,seed,
Austin Tindle,Sorcerer,seed,
Maxmillion McLaughlin,Sorcerer,seed,
Shelden Shi,Lilac Labs,pre_seed,
Tony Kam,Lilac Labs,pre_seed,
Adit Sanghvi,Decisional AI,pre_seed,
Dhruv Tandon,Decisional AI,pre_seed,
Sai Neeraj Kanuri,Decisional AI,pre_seed,
Dudu Lasry,Vespper,pre_seed,
Topaz Turkenitz,Vespper,pre_seed,
Nikhil Srinivasan,Infinite,seed,
Raj Lad,Infinite,seed,
Maksim Ivanov,Agentic Labs,pre_seed,
Robert McKnight,Agentic Labs,pre_seed,
Brian Model,Thunder Compute,seed,
Carl Peterson,Thunder Compute,seed,
Alan Du,DaLMatian,pre_seed,
Derrick Xin,DaLMatian,pre_seed,
Jason Cai,DaLMatian,pre_seed,
Rithwik Pattikonda,CardLift,pre_seed,
Andrew Wang,GoldenBasis,pre_seed,
Grant Ackerman,GoldenBasis,pre_seed,
Elham Islam,Synnax,pre_seed,
Emiliano Bonilla,Synnax,pre_seed,
Patrick Dotson,Synnax,pre_seed,
Anthony Krivonos,Toma,series_a,
Junyu Huang,Toma,series_a,
Monik Pamecha,Toma,series_a,
Ben Wiley,David AI,series_a,
Tomer Cohen,David AI,series_a,
Anish Doshi,Helium,pre_seed,
Shishir Jakati,Helium,pre_seed,
Zach Witzel,Helium,pre_seed,
Edouard Labarthe,Plume,pre_seed,
Jean-Baptiste de La Fage,Plume,pre_seed,
Ma El,Plume,pre_seed,
Aayush Shah,Blacksmith,seed,
Aditya Jayaprakash,Blacksmith,seed,
Aditya Maru,Blacksmith,seed,
Anushka Nijhawan,Spur,seed,
Sneha Sivakumar,Spur,seed,
Adam Pratt,Henry,seed,
Sammy Greenwall,Henry,seed,
Adi Oltean,Starcloud,seed,
Ezra Feilden,Starcloud,seed,
Philip Johnston,Starcloud,seed,
Akhil Iyengar,Operand,seed,
Arjun Sahney,Operand,seed,
Ram Gorthi,Operand,seed,
Ian Gillis,Clara,seed,
Jonathan Levinson,Clara,seed,
Kim Rants,Alice tech,seed,
Patrick Gadd,Alice tech,seed,
Jay Li,Proception,pre_seed,
Jianxiang Xu,Proception,pre_seed,
Abdul Jamjoom,Arini,pre_seed,
Rami Rustom,Arini,pre_seed,
Ritvik Pandey,Pulse,seed,
Sid Manchkanti,Pulse,seed,
Charley Lee,Datacurve,pre_seed,
Serena Ge,Datacurve,pre_seed,
Finn zur Mühlen,telli,pre_seed,
Philipp Baumanns,telli,pre_seed,
Seb Hapte-Selassie,telli,pre_seed,
Elle Smyth,RetailReady,seed,
Sarah Hamer,RetailReady,seed,
Alan Yao,AthenaHQ,seed,
Andrew Yan,AthenaHQ,seed,
Haokun Qin,Gale,seed,
Rahul Gudise,Gale,seed,
Rishabh Sambare,Gale,seed,
Brooke Hopkins,Coval,seed,
Arko Chattopadhyay,Pipeshift,seed,
Enrique Ferrao,Pipeshift,seed,
Pranav Reddy,Pipeshift,seed,
Md Abdul Halim Rafi,Octolane AI,seed,
One Chowdhury,Octolane AI,seed,
Ahmed Kerwan,Taxo,seed,
Hassan Tahir,Taxo,seed,
Katia Bazzi,Focal,pre_seed,
Ray Morgan,Focal,pre_seed,
Geffen Avraham,Bifrost Orbital,pre_seed,
Onkar Singh,Bifrost Orbital,pre_seed,
Neha Mittal,Just Words,seed,
James He,Artificial Societies,pre_seed,
Patrick Sharpe,Artificial Societies,pre_seed,
Ben Smet,Conveo,seed,
Dieter De Mesmaeker,Conveo,seed,
Hendrik Van Hove,Conveo,seed,
Abhilash Chowdhary,Crustdata,pre_seed,
Chris Pisarski,Crustdata,pre_seed,
Manmohit Grewal,Crustdata,pre_seed,
Caleb Harris,And AI,seed,
Herbert Turner,And AI,seed,
Akkshay Khoslaa,Asha Health,seed,
Gokul Kumarresen,Asha Health,seed,
Esha Manideep,Giga ML,seed,
Varun Vummadi,Giga ML,seed,
Emily Yuan,Corgi,pre_seed,
Nico Laqua,Corgi,pre_seed,
Aditya Lahiri,OpenFunnel,pre_seed,
Fenil Suchak,OpenFunnel,pre_seed,
Marius Buleandra,Hamming AI,seed,
Sumanyu Sharma,Hamming AI,seed,
German Mikulski,ClaimSorted,pre_seed,
Pavel Gertsberg,ClaimSorted,pre_seed,
Finn Mallery,Origami Agents,seed,
Kenson Chung,Origami Agents,seed,
Anurag Kejriwal,Sonnet,pre_seed,
Dylan Feng,Sonnet,pre_seed,
Benjamin Bolte,K-Scale Labs,pre_seed,
Matthew Freed,K-Scale Labs,pre_seed,
Paweł Budzianowski,K-Scale Labs,pre_seed,
Carl Schoeller,Theseus,seed,
Ian Laffey,Theseus,seed,
Sacha Lévy,Theseus,seed,
Abhi Aiyer,Mastra,pre_seed,
Sam Bhagwat,Mastra,pre_seed,
Shane Thomas,Mastra,pre_seed,
Bardia Safari,Olive,seed,
Shrey Gupta,Olive,seed,
Anna Pojawis,OmniAI,seed,
Tyler Maran,OmniAI,seed,
Louis Murerwa,Ocular AI,seed,
Michael Moyo,Ocular AI,seed,
Furkan Köseoğlu,Polymet,pre_seed,
Yusuf Hilmi,Polymet,pre_seed,
Tiko Bdoyan,SimCare AI,seed,
Vrishank Saini,SimCare AI,seed,
Oscar Xing Luo,Reforged Labs,seed,
Robert Huynh,Reforged Labs,seed,
Henry Zhang,Axiom,pre_seed,
Preston Ellis,Axiom,pre_seed,
Muhammad Umar Nadeem,Kabilah,pre_seed,
Sarah Raza,Kabilah,pre_seed,
Ayantika Dey,Merlin AI,pre_seed,
Kumar Siddhartha,Merlin AI,pre_seed,
Sneha Kumari,Merlin AI,pre_seed,
Duke Pan,PearAI,pre_seed,
Nang Ang,PearAI,pre_seed,
Ian Edwards,Parley,pre_seed,
Jackson Perry,Parley,pre_seed,
Philip Smart,Parley,pre_seed,
Dimitris Fotis Sakellariou,Piramidal,seed,
Kris Pahuja,Piramidal,seed,
Kilian Justus,Tabular,pre_seed,
Leo von Kleist,Tabular,pre_seed,
Markus Jungnickel,Tabular,pre_seed,
Tim Hermes,Tabular,pre_seed,
Alex Tseng,Ares Industries,pre_seed,
Daniel Jacoby,Ares Industries,pre_seed,
Devan Plantamura,Ares Industries,pre_seed,
Victor Laguna,PathPilot,seed,
Vladimir Korshin,PathPilot,seed,
Anker Bach Ryhl,Parahelp,pre_seed,
Mads Lunau Liechti,Parahelp,pre_seed,
Ankit Singhal,Anthrogen,seed,
Connor Lee,Anthrogen,seed,
Vignesh Karthik,Anthrogen,seed,
Evan Wineland,Weave Robotics,pre_seed,
Kaan Dogrusoz,Weave Robotics,pre_seed,
Jenica Zhong,Tile,pre_seed,
Jessica Fang,Tile,pre_seed,
Helen W.,Amber AI,pre_seed,
Oliver Zou,Amber AI,pre_seed,
Carlos Georgescu,AfterQuery,pre_seed,
Danny Tang,AfterQuery,pre_seed,
Spencer Mateega,AfterQuery,pre_seed,
Cyril Pluche,marblism,pre_seed,
Ulric Musset,marblism,pre_seed,
Alex Doonanco,careCycle,seed,
Evan Roubekas,careCycle,seed,
Eli Kerstein,Guardian RF,seed,
John Andrzejewski,Guardian RF,seed,
Lucas Raskin,Guardian RF,seed,
Lucious McDaniel IV,BiteSight,pre_seed,
Zachery Schulwolf,BiteSight,pre_seed,
Dakotah Rice,Harper,pre_seed,
Tushar Nair,Harper,pre_seed,
Daniel Vega,Inversion Semiconductor,pre_seed,
Rohan Karthik,Inversion Semiconductor,pre_seed,
Hassan Mirza,FutureClinic,pre_seed,
Nabil Belahouane,FutureClinic,pre_seed,
Riyan Moussaoui,FutureClinic,pre_seed,
Usama Syed,FutureClinic,pre_seed,
Cristian Bodnar,Silurian AI,pre_seed,
Jayesh K. Gupta,Silurian AI,pre_seed,
Nikhil Shankar,Silurian AI,pre_seed,
Benjamin Kilimnik,PAX Markets,pre_seed,
Pete Stevenson,PAX Markets,pre_seed,
Ayush Tomar,Helpcare AI,pre_seed,
Huzaifa Sial,Helpcare AI,pre_seed,
Kushal Mohta,Optifye.ai,pre_seed,
Vivaan Baid,Optifye.ai,pre_seed,
Badr Mokdad,Sandra AI,pre_seed,
Ismail Majjad,Sandra AI,pre_seed,
Skandere Sahli,Sandra AI,pre_seed,
Benjamin South Lee,Variant,pre_seed,
Daniel Bulhosa Solorzano,Variant,pre_seed,
Daniel Cervoni,CommodityAI,pre_seed,
Kyle Franz,CommodityAI,pre_seed,
Philip Koenig,CommodityAI,pre_seed,
Christopher Le,Pax AI,pre_seed,
Penny Chen,Pax AI,pre_seed,
Aamish Ahmad Beg,Lopus AI,pre_seed,
Danylo Borodchuk,Lopus AI,pre_seed,
Imogen Low,FuseAI,pre_seed,
Saurav Bubber,FuseAI,pre_seed,
Alex Tkachenko,Fira,pre_seed,
Alexey Taktarov,Fira,pre_seed,
Ayushman Srivastava,Caseflood.ai,seed,
Ethan Hilton,Caseflood.ai,seed,
Tolen Schreid,Caseflood.ai,seed,
Shashij Gupta,Cekura AI,pre_seed,
Sidhant Kabra,Cekura AI,pre_seed,
Tarush Agarwal,Cekura AI,pre_seed,
Anam Hira,Revyl,pre_seed,
Landseer Enga,Revyl,pre_seed,
Arman Karégar,Vetnio,pre_seed,
Max Henry Xie,Vetnio,pre_seed,
Filip Stål,Bluebook,pre_seed,
Jonathan Andersson,Bluebook,pre_seed,
Philip Andersson,Bluebook,pre_seed,
Alexander Israelov,Mentra,pre_seed,
Cayden Pierce,Mentra,pre_seed,
Mohammad Algharabat,Open,pre_seed,
Shanur Rahman,Open,pre_seed,
Andrew Dixon,Gander,pre_seed,
Arjan Guglani,Gander,pre_seed,
Justin Sun,Scrapybara,pre_seed,
Nalin Semwal,Scrapybara,pre_seed,
Andy Lyu,Osmosis AI,pre_seed,
Kasey Zhang,Osmosis AI,pre_seed,
Manav Bokinala,vly.ai,seed,
Victor Cheng,vly.ai,seed,
Gokhan Egri,Brainbase,pre_seed,
Daniel Farrell,Onlook,pre_seed,
Kiet Ho,Onlook,pre_seed,
Pablo Bermudez-Canete,Paratus Health,pre_seed,
Tannen Hall,Paratus Health,pre_seed,
Mark Dawson,Kura,pre_seed,
Trevor Reed,Kura,pre_seed,
Kevin Chu,Hestus,seed,
Sohrab Haghighat,Hestus,seed,
Arda Goreci,Ligo Biosciences,pre_seed,
Edward Harris,Ligo Biosciences,pre_seed,
Emily Egerton Warburton,Ligo Biosciences,pre_seed,
Aria Mohseni,CrowdVolt,seed,
Josh Karol,CrowdVolt,seed,
Max Hammer,CrowdVolt,seed,
Sean O'Brien,CollectWise,pre_seed,
Vivek Isukapalli,CollectWise,pre_seed,
Hashim Rehman,Remo,pre_seed,
Rabii Malik,Remo,pre_seed,
Jesse Hu,Abundant,pre_seed,
Ke Huang,Abundant,pre_seed,
Meji Abidoye,Abundant,pre_seed,
Adam Bowen,Tergle,pre_seed,
William Tarr,Tergle,pre_seed,
Brett Beatty,Surge,pre_seed,
Dennis Beatty,Surge,pre_seed,
Sam Yu,Moreta,pre_seed,
Walid Mah'd,Moreta,pre_seed,
Aditya Joshi,Blume Benefits,pre_seed,
Ethan Hou,Blume Benefits,pre_seed,
Varun Verma,Blume Benefits,pre_seed,
Anthony Humay,Raycaster,pre_seed,
Levi Lian,Raycaster,pre_seed,
Ben Collins,Woz,pre_seed,
Brad Eckert,Woz,pre_seed,
Hai Dang,Mercura,pre_seed,
Lukas Bock,Mercura,pre_seed,
Stefan Zheng,Mercura,pre_seed,
Berni Hausleitner,Soff,pre_seed,
Raban von Spiegel,Soff,pre_seed,
August Chen,Hazel,pre_seed,
Elton Lossner,Hazel,pre_seed,
Akshay Chalana,Saphira AI,pre_seed,
Oscar Avatare,Saphira AI,pre_seed,
Ghita Houir Alami,ZeroEntropy,pre_seed,
Nicholas Pipitone,ZeroEntropy,pre_seed,
Emily Choi-Greene,Clearly AI,pre_seed,
Joe Choi-Greene,Clearly AI,pre_seed,
Armel Talla,Miru,pre_seed,
Benjamin Smidt,Miru,pre_seed,
Vedant Nair,Miru,pre_seed,
Charlene Wang,Ember Copilot,pre_seed,
Warren Wang,Ember Copilot,pre_seed,
Daniel Lantz,Thyme,pre_seed,
Fernando Martin,Thyme,pre_seed,
Eric Button,Enhanced Radar,pre_seed,
Kristian Gaylord,Enhanced Radar,pre_seed,
Alireza Mohammadshahi,Leeroo,pre_seed,
Arshad Shaikh,Leeroo,pre_seed,
Majid Yazdani,Leeroo,pre_seed,
Brian Bakerman,ArchiLabs,pre_seed,
William Meng,ArchiLabs,pre_seed,
Advait Paliwal,Friday,pre_seed,
Allen Naliath,Friday,pre_seed,
Aumesh Misra,Tivara,pre_seed,
Tej Seelamsetty,Tivara,pre_seed,
Ajay Vasisht,Kairo Health,pre_seed,
Jake Goldman,Kairo Health,pre_seed,
Chao-Ping Wu,Flair Labs,pre_seed,
Samir Sen,Flair Labs,pre_seed,
Josh Earle,Outlit,pre_seed,
Leo Paz,Outlit,pre_seed,
Blake (Tianyi) Shao,Cekura,pre_seed,
Jialiang Zhou,Cekura,pre_seed,
Daniel Portela,RetroFix AI,pre_seed,
Isaac Toscano,RetroFix AI,pre_seed,
Anish Bhardwaj,Vendra,pre_seed,
Shan Mohta,Vendra,pre_seed,
Qi Yang,Pearson Labs,pre_seed,
Stephanie Young,Pearson Labs,pre_seed,
Simon Farshid,assistant-ui,pre_seed,
Fedor Paretsky,Sepal AI,pre_seed,
Kat Hu,Sepal AI,pre_seed,
Navvye Anand,Bindwell,pre_seed,
Tyler Rose,Bindwell,pre_seed,
Codrut Lemeni,Educato AI,pre_seed,
Felix Gabler,Educato AI,pre_seed,
Pierre-Louis Monnot,Educato AI,pre_seed,
Dominik Moehrle,Dodo,pre_seed,
Julius Hillebrand,Dodo,pre_seed,
Tim Reinhart,Dodo,pre_seed,
