company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Rume,https://www.crunchbase.com/organization/rume-a4c3,125000.0,,125000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,125000.0,1,seed,2020-08-25,125000.0,1.0,https://www.linkedin.com/company/lumesocial/,,https://twitter.com/rumevideo,Ben Scharfstein,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Software"
Dockup,https://www.crunchbase.com/organization/dockup,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,pre_seed,2019-03-18,150000.0,2.0,https://www.linkedin.com/company/dockup,,https://twitter.com/getdockup,"Emil Soman, Yuva Kumar","Design, Information Technology, Software"
Heru,https://www.crunchbase.com/organization/heru,7700000.0,11.0,6000000.0,,2019-01-01,,,13,active,2.0,c_00011_00050,7700000.0,4,seed,2022-09-19,6000000.0,2.0,https://www.linkedin.com/company/somosheru,https://www.facebook.com/somosheru,https://twitter.com/somosheru,"Mateo Jaramillo, Stiven Rodriguez Sanchez","Community and Lifestyle, Health Care, Software"
Life Sciences Key Technologies,https://www.crunchbase.com/organization/life-sciences-key-technologies-lsk,199703.0,7.0,125000.0,,2019-01-01,,,4,active,2.0,c_00001_00010,199703.0,2,seed,2020-08-25,125000.0,2.0,https://www.linkedin.com/company/lifesci-key/,,https://twitter.com/LifeSciKey,"Seray Cicek, Yuxiu Livia Guo","Biotechnology, Health Care, Science and Engineering"
Basement App,https://www.crunchbase.com/organization/basement-app,150000.0,,150000.0,,2019-01-01,,,1,closed,1.0,c_00001_00010,150000.0,1,pre_seed,2019-03-22,150000.0,2.0,https://www.linkedin.com/company/basement-social/,,,"Fernando Rojo, Jeremy Berman","Apps, Internet Services, Software"
Nonu Care,https://www.crunchbase.com/organization/nonu-care,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00011_00050,150000.0,1,pre_seed,2019-08-19,150000.0,1.0,https://www.linkedin.com/company/nonu-care/,https://www.facebook.com/NonuCare/,,Anudeep Reddy Sura,"Commerce and Shopping, Health Care"
Castodia,https://www.crunchbase.com/organization/castodia,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,pre_seed,2020-03-16,150000.0,2.0,https://www.linkedin.com/company/castodiahq,https://www.facebook.com/CastodiaHQ,https://twitter.com/castodiahq,"Ayazhan Zhakhan, Jimmy Chan","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Playmaker,https://www.crunchbase.com/organization/playmaker-fec7,125000.0,1.0,125000.0,,2019-01-01,,,2,active,1.0,c_00001_00010,125000.0,1,pre_seed,2021-03-22,125000.0,2.0,https://www.linkedin.com/company/getplaymaker/,,https://twitter.com/getplaymaker,"Helder Almeida, Neil S W Murray","Apps, Mobile, Software"
Gold Fig Labs,https://www.crunchbase.com/organization/gold-fig-labs,150000.0,,150000.0,,2019-01-01,,,2,active,1.0,c_00011_00050,150000.0,1,pre_seed,2019-08-19,150000.0,2.0,https://www.linkedin.com/company/goldfiglabs,https://www.facebook.com/goldfiglabs,https://twitter.com/goldfiglabs,"Greg Soltis, Vikrum Nijjar","Apps, Data and Analytics, Software"
Chutney,https://www.crunchbase.com/organization/chutney-17bc,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,pre_seed,2020-03-16,150000.0,2.0,https://www.linkedin.com/company/chutneystore,https://www.facebook.com/chutneystore,,"Jhansi Elango, Vivek Nautiyal","Commerce and Shopping, Food and Beverage, Other, Transportation"
Lang API,https://www.crunchbase.com/organization/lang-api,150000.0,1.0,150000.0,,2019-01-01,,,2,closed,1.0,c_00011_00050,150000.0,1,seed,2019-08-19,150000.0,1.0,https://www.linkedin.com/company/rutter/about/,,,Abhi Sivaprasad,"Apps, Mobile, Professional Services, Software"
Metacode,https://www.crunchbase.com/organization/metacode,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00011_00050,150000.0,1,seed,2019-08-19,150000.0,1.0,https://www.linkedin.com/company/metacodeapp,,,Tshepo Mohlala,"Consumer Electronics, Hardware, Software"
Plunzo,https://www.crunchbase.com/organization/plunzo,150000.0,1.0,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,seed,2020-08-24,150000.0,2.0,https://www.linkedin.com/company/plunzo/,,,"Federico Goldberg, Ramiro Furtado","Consumer Electronics, Hardware, Software"
Dashblock,https://www.crunchbase.com/organization/dashblock,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,seed,2019-08-19,150000.0,2.0,https://www.linkedin.com/company/dashblock,https://www.facebook.com/DashblockHQ,https://twitter.com/DashblockHQ,"Hugues Pouillot, Maxime Corbani","Data and Analytics, Information Technology, Internet Services, Software"
