company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
Greywing;https://www.crunchbase.com/organization/greywing-28da;https://www.linkedin.com/company/greywing/;4;3000;;0;1
Disclo;https://www.crunchbase.com/organization/disclo;https://www.linkedin.com/company/disclo/;15;6000;https://www.facebook.com/disclotime;0;1
PAYZE;https://www.crunchbase.com/organization/payze;https://www.linkedin.com/company/paymentsmadeeazy;19;2000;https://www.facebook.com/payzegeo;10000;1
Segmed;https://www.crunchbase.com/organization/segmed;https://www.linkedin.com/company/segmed-ai;44;4000;;0;1
Outtalent;https://www.crunchbase.com/organization/outtalent;https://www.linkedin.com/company/outtalent/;13;4000;https://www.facebook.com/outtalent/;157;1
GradJoy;https://www.crunchbase.com/organization/gradjoy;https://www.linkedin.com/company/gradjoy;2;311;;0;1
Matidor.com;https://www.crunchbase.com/organization/matidor;https://www.linkedin.com/company/matidorapp;18;4000;https://www.facebook.com/matidorapp;252;1
Gamebytes;https://www.crunchbase.com/organization/fad-mania;https://www.linkedin.com/company/fadmania/;2;93;;0;1
Moichor;https://www.crunchbase.com/organization/moichor;https://www.linkedin.com/company/moichor;21;2000;https://www.facebook.com/Moichor1/;0;1
Courier;https://www.crunchbase.com/organization/try-courier;https://www.linkedin.com/company/trycourier;100;5000;https://www.facebook.com/trycourier;84;1
Zingbus;https://www.crunchbase.com/organization/zingbus;https://in.linkedin.com/company/zingbus;316;23000;https://www.facebook.com/zing.bus/;19000;1
PowerUs;https://www.crunchbase.com/organization/electry;https://www.linkedin.com/company/power-us/;117;6000;;0;1
Memberstack;https://www.crunchbase.com/organization/memberstack;https://www.linkedin.com/company/memberstack;12;2000;;0;1
Bun;https://www.crunchbase.com/organization/oven;https://www.linkedin.com/company/ovensh;23;3000;;0;1
Mage App;https://www.crunchbase.com/organization/mage-market;https://www.linkedin.com/company/19039387/;2;44;https://facebook.com/magemarketHQ;600;1
Munily;https://www.crunchbase.com/organization/munily;https://www.linkedin.com/company/munilyapp/about/;31;4000;https://www.facebook.com/munilyappp/;263;1
PayMongo;https://www.crunchbase.com/organization/paymongo;https://www.linkedin.com/company/paymongo;153;13000;https://www.facebook.com/paymongo;29000;1
Mystic;https://www.crunchbase.com/organization/neuro-ai;https://www.linkedin.com/company/mystic-ai/;9;3000;;0;1
GiveAway;https://www.crunchbase.com/organization/giveaway-189e;https://www.linkedin.com/company/giveawayglobal;14;219;https://web.facebook.com/giveawayby/;0;1
Calii;https://www.crunchbase.com/organization/calii;https://www.linkedin.com/company/calii/;117;3000;https://www.facebook.com/caliiapp/;60000;1
Text Blaze;https://www.crunchbase.com/organization/text-blaze;https://www.linkedin.com/company/19114105/;15;5000;https://www.facebook.com/textblaze/;202;1
Digi-Prex;https://www.crunchbase.com/organization/digi-prex;https://www.linkedin.com/company/digi-prex/;27;4000;https://www.facebook.com/Digi-Prex-2373617052875044/;106;1
Synder;https://www.crunchbase.com/organization/cloudbusiness;https://www.linkedin.com/company/synder;68;3000;https://www.facebook.com/SynderHQ;1100;1
SuperTokens;https://www.crunchbase.com/organization/supertokens;https://www.linkedin.com/company/supertokens/;18;3000;https://www.facebook.com/SuperTokenss/;0;1
Clicoh;https://www.crunchbase.com/organization/clicoh;https://www.linkedin.com/company/clicoh/;215;20000;https://www.facebook.com/clicoh/;1200;1
Blair;https://www.crunchbase.com/organization/blair;https://www.linkedin.com/company/joinblair;2;1000;https://www.facebook.com/joinblair/;15;1
Datasaur;https://www.crunchbase.com/organization/datasaur;https://www.linkedin.com/company/datasaur;66;3000;https://www.facebook.com/DatasaurNLPLabeling;15;1
Hannah Life Technologies;https://www.crunchbase.com/organization/hannah-life-technologies;https://www.linkedin.com/company/hannah-life-technologies/;18;2000;https://www.facebook.com/Hannah-Life-Technologies-112706386743198/;3100;1
ElectroNeek;https://www.crunchbase.com/organization/electroneek;https://www.linkedin.com/company/electroneek/;58;42000;https://www.facebook.com/ELECTRONEEKRPA/;3100;1
Zelos Gaming;https://www.crunchbase.com/organization/zelos-gaming-inc;https://www.linkedin.com/company/zelos-gaming-inc;14;334;https://www.facebook.com/winzelos/;1100;1
BotCity;https://www.crunchbase.com/organization/botcity-ce94;https://www.linkedin.com/company/botcity;38;14000;;0;1
COUTURME;https://www.crunchbase.com/organization/couturme;https://www.linkedin.com/in/yuliya-raquel/;2;3266;https://www.facebook.com/yuliyaraquelbrand/;0;1
Cyble;https://www.crunchbase.com/organization/cyble;https://www.linkedin.com/company/cyble-global;228;67000;https://www.facebook.com/cybleau;0;1
Dover;https://www.crunchbase.com/organization/dover-37be;https://www.linkedin.com/company/doverhq;1400;8000;https://www.facebook.com/doverhq/;49;1
Rainbow;https://www.crunchbase.com/organization/rainbow-ddab;https://www.linkedin.com/company/rainbowdotme;320;2000;;0;1
Living Carbon;https://www.crunchbase.com/organization/living-carbon;https://www.linkedin.com/company/living-carbon;38;14000;;0;1
Alloy Automation;https://www.crunchbase.com/organization/alloy-automation;https://www.linkedin.com/company/alloy-automation;39;21000;https://www.facebook.com/AlloyAutomation;709;1
Rosebud AI;https://www.crunchbase.com/organization/rosebud-ai;https://www.linkedin.com/company/rosebud-ai;21;4000;;0;1
Replicate;https://www.crunchbase.com/organization/replicate;https://www.linkedin.com/company/replicate;51;10000;;0;1
Daybreak Health;https://www.crunchbase.com/organization/daybreak-health;https://www.linkedin.com/company/daybreak-health;215;10000;https://www.facebook.com/Daybreak-Health-106900667773117;88;1
Ello;https://www.crunchbase.com/organization/trustle;https://www.linkedin.com/company/elloinc;75;6000;https://www.facebook.com/trustle;14000;1
Parker;https://www.crunchbase.com/organization/parker-570c;https://www.linkedin.com/company/getparker;119;10000;;0;1
Freshpaint;https://www.crunchbase.com/organization/freshpaint;https://www.linkedin.com/company/freshpaint-data;115;7000;;0;1
Phoenix Health;https://www.crunchbase.com/organization/phoenix-310f;https://www.linkedin.com/company/phoenix-health-canada;61;3000;https://www.facebook.com/risewithphoenix;5000;1
Landed_1;https://www.crunchbase.com/organization/landed-11de;https://www.linkedin.com/company/gotlanded/about/;44;4000;https://www.facebook.com/gotlanded;2600;1
