company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
StowNest Storage;https://www.crunchbase.com/organization/stownest-storage;https://www.linkedin.com/company/stownest-storage;64;2000;https://www.facebook.com/stownest;1700;1
Mightyapp;https://www.crunchbase.com/organization/mightyapp;;0;0;;0;0
Dive Health;https://www.crunchbase.com/organization/dive-health;https://www.linkedin.com/company/dive-health;2;904;https://www.facebook.com/divehealth;;0
Refinery;https://www.crunchbase.com/organization/refinery;https://www.linkedin.com/company/refinery/;7;130;https://www.facebook.com/refinery.io/;0;1
PeopleCQ;https://www.crunchbase.com/organization/peoplecq;https://www.linkedin.com/company/peoplecq/;5;233;https://www.facebook.com/profile.php?id=61554153965728;31;1
Vori;https://www.crunchbase.com/organization/vori;https://www.linkedin.com/company/vori/;31;4000;;0;1
Hey Healthcare;https://www.crunchbase.com/organization/hey-healthcare;https://www.linkedin.com/company/hey-healthcare/about/;1;140;;0;1
Hermes Robotics;https://www.crunchbase.com/organization/hermes-robotics;https://www.linkedin.com/company/hermes-robotics/about/;3;643;;0;1
Release;https://www.crunchbase.com/organization/release;https://www.linkedin.com/company/releaseapp/;18;2000;;0;1
Platypus;https://www.crunchbase.com/organization/platypus-aaf4;https://www.linkedin.com/company/getplatypus/;2;691;;0;1
Sendo;https://www.crunchbase.com/organization/sendo-1ef7;https://www.linkedin.com/company/sendo-sms/;1;30;;0;1
Kern Systems;https://www.crunchbase.com/organization/kern-systems;https://www.linkedin.com/company/kern-systems;2;119;;0;1
Once App;https://www.crunchbase.com/organization/once-app;https://www.linkedin.com/company/oncedotapp/;2;698;https://www.facebook.com/oncedotapp;28;1
ZipSchool;https://www.crunchbase.com/organization/zipschool;;0;0;https://www.facebook.com/zipschooling;;0
GreenTiger;https://www.crunchbase.com/organization/greentiger;https://linkedin.com/company/greentigerai;2;99;https://www.facebook.com/greentigerapp/;524;1
Cradle;https://www.crunchbase.com/organization/cradle-aef2;;0;0;;0;0
Jamiphy;https://www.crunchbase.com/organization/jamiphy;https://www.linkedin.com/company/jamiphy/;2;332;https://www.facebook.com/Jamiphy/;543000;1
Endla;https://www.crunchbase.com/organization/endla;https://www.linkedin.com/company/endla;10;888;;0;1
Sidekick;https://www.crunchbase.com/organization/sidekick-c880;https://www.linkedin.com/company/sidekickvideo;2;195;;0;1
Tandem;https://www.crunchbase.com/organization/tandem-214b;;0;0;;0;0
Mudafy;https://www.crunchbase.com/organization/mudafy;https://www.linkedin.com/company/mudafy/;215;19000;https://www.facebook.com/mudafyAr/;6500;1
Levo;https://www.crunchbase.com/organization/levo-5a7b;https://www.linkedin.com/company/levomx;2;441;https://www.facebook.com/levofintech;0;1
Ladder;https://www.crunchbase.com/organization/ladder-3c47;https://www.linkedin.com/company/meetladder/;6;3000;https://www.facebook.com/meetladder/;136;1
Clew;https://www.crunchbase.com/organization/clew-0eeb;https://www.linkedin.com/company/clewhq/;2;129;;0;1
Rume;https://www.crunchbase.com/organization/rume-a4c3;https://www.linkedin.com/company/lumesocial/;1;65;;0;1
Dockup;https://www.crunchbase.com/organization/dockup;https://www.linkedin.com/company/dockup;1;85;;0;1
Heru;https://www.crunchbase.com/organization/heru;https://www.linkedin.com/company/somosheru;44;8000;https://www.facebook.com/somosheru;11000;1
Life Sciences Key Technologies;https://www.crunchbase.com/organization/life-sciences-key-technologies-lsk;https://www.linkedin.com/company/lifesci-key/;2;551;;0;1
Nonu Care;https://www.crunchbase.com/organization/nonu-care;https://www.linkedin.com/company/nonu-care/;14;199;https://www.facebook.com/NonuCare/;46000;1
Castodia;https://www.crunchbase.com/organization/castodia;https://www.linkedin.com/company/castodiahq;2;180;https://www.facebook.com/CastodiaHQ;107;1
Playmaker;https://www.crunchbase.com/organization/playmaker-fec7;https://www.linkedin.com/company/getplaymaker/;1;152;;0;1
Gold Fig Labs;https://www.crunchbase.com/organization/gold-fig-labs;https://www.linkedin.com/company/goldfiglabs;2;84;https://www.facebook.com/goldfiglabs;20;1
Chutney;https://www.crunchbase.com/organization/chutney-17bc;https://www.linkedin.com/company/chutneystore;4;609;https://www.facebook.com/chutneystore;131;1
Metacode;https://www.crunchbase.com/organization/metacode;https://www.linkedin.com/company/metacodeapp;2;108;;0;1
Plunzo;https://www.crunchbase.com/organization/plunzo;https://www.linkedin.com/company/plunzo/;2;234;;0;1
Dashblock;https://www.crunchbase.com/organization/dashblock;https://www.linkedin.com/company/dashblock;2;257;https://www.facebook.com/DashblockHQ;138;1
Nototo;https://www.crunchbase.com/organization/nototo;;0;0;https://www.facebook.com/nototoapp;;0
Plum Mail;https://www.crunchbase.com/organization/plummail;;0;0;;0;0
OpenUnit;https://www.crunchbase.com/organization/openunit;https://www.linkedin.com/company/openunit;2;299;;0;1
Bikry;https://www.crunchbase.com/organization/nearpe;https://www.linkedin.com/company/bikryapp/;13;2000;https://www.facebook.com/bikryapp;2800;1
Keynua;https://www.crunchbase.com/organization/keynua;https://www.linkedin.com/company/keynua/;14;3000;https://www.facebook.com/keynuainc;278;1
Middesk;https://www.crunchbase.com/organization/middesk;https://www.linkedin.com/company/middesk/;135;6000;https://www.facebook.com/middesk;127;1
Filadd;https://www.crunchbase.com/organization/filadd;https://www.linkedin.com/company/filadd;223;10000;https://www.facebook.com/filaddco;26000;1
Freterium;https://www.crunchbase.com/organization/freterium;https://www.linkedin.com/company/freterium/;21;15000;;0;1
Pachama;https://www.crunchbase.com/organization/pachama;https://www.linkedin.com/company/pachama;86;55000;;0;1
Supernova.io;https://www.crunchbase.com/organization/supernova-technology-ltd;https://www.linkedin.com/company/supernova-io;43;7000;;0;1
Windwalk Games;https://www.crunchbase.com/organization/windwalk-games-enemy-on-board;https://www.linkedin.com/company/windwalkgames/;29;6000;;0;1
RoboTire;https://www.crunchbase.com/organization/robotire;https://www.linkedin.com/company/robotire;5;3000;;0;1
Arist;https://www.crunchbase.com/organization/arist;https://www.linkedin.com/company/aristu;63;10000;https://www.facebook.com/LearnArist;1700;1
Justo;https://www.crunchbase.com/organization/get-justo;https://www.linkedin.com/company/getjusto/;217;30000;https://www.facebook.com/Getjusto/;6300;1
AI Insurance;https://www.crunchbase.com/organization/ai-insurance;https://www.linkedin.com/company/a-i-insurance-inc/;18;1000;;0;1
HyperTrader;https://www.crunchbase.com/organization/hyperlinq;https://www.linkedin.com/company/hypertrader;3;596;;0;1
Qwest (YC W19);https://www.crunchbase.com/organization/qwst;;0;0;;0;0
Klir;https://www.crunchbase.com/organization/klir-09a0;https://www.linkedin.com/company/klir;79;3000;https://www.facebook.com/pg/klirteam/;20;1
Houm;https://www.crunchbase.com/organization/houm-group-inc;https://www.linkedin.com/company/houm-com/about/;480;26000;;0;1
Akute Health;https://www.crunchbase.com/organization/akute-health;https://www.linkedin.com/company/akute-health;6;400;https://www.facebook.com/AkuteHealth;110;1
Recurrency;https://www.crunchbase.com/organization/recurrency-ai;https://www.linkedin.com/company/recurrency;52;3000;https://www.facebook.com/recurrency;225;1
Fondeadora;https://www.crunchbase.com/organization/fondeadora;http://www.linkedin.com/company/fondeadora;72;19000;http://www.facebook.com/FondeadoraMx;139000;1
Intersect Labs;https://www.crunchbase.com/organization/intersect-labs;https://www.linkedin.com/company/intersect-labs-io/;2;376;https://www.facebook.com/Intersect-Labs-190441321857054/;549;1
Stark Bank;https://www.crunchbase.com/organization/starkbank;https://www.linkedin.com/company/starkbank;149;29000;https://www.facebook.com/starkbank;914;1
Okteto;https://www.crunchbase.com/organization/okteto;https://www.linkedin.com/company/okteto;17;2000;;0;1
Global Belly;https://www.crunchbase.com/organization/global-belly;https://www.linkedin.com/company/globalbelly/;2;138;https://www.facebook.com/globalbelly;15000;1
Tyltgo;https://www.crunchbase.com/organization/tyltgo;https://www.linkedin.com/company/tyltgo;11;1000;https://www.facebook.com/pg/Tyltgo;538;1
Taiv;https://www.crunchbase.com/organization/taiv;https://www.linkedin.com/company/taivbox;67;2000;https://www.facebook.com/taivbox/;148;1
Kinside;https://www.crunchbase.com/organization/kinside;https://www.linkedin.com/company/kinside/;5;2000;https://www.facebook.com/getKinside;92;1
Prodigal;https://www.crunchbase.com/organization/prodigal-3824;https://www.linkedin.com/company/prodigaltech;64;12000;https://www.facebook.com/prodigalai;130;1
Ansa Biotechnologies;https://www.crunchbase.com/organization/ansa-biotechnologies;https://www.linkedin.com/company/ansabio/;80;9000;;0;1
spotLESS Materials;https://www.crunchbase.com/organization/spotless-materials;https://www.linkedin.com/company/spotless-materials;7;645;https://www.facebook.com/spotless.materials;715;1
FLOWER CO;https://www.crunchbase.com/organization/flower-company;https://www.linkedin.com/company/flower-company-cannabis/;175;6000;http://facebook.com/FLOWERC0;536;1
Oxygen;https://www.crunchbase.com/organization/oxygen-5cc0;https://www.linkedin.com/company/getoxygen/;;;https://www.facebook.com/oxygenbanking/;;0
Jet Admin;https://www.crunchbase.com/organization/jet-admin;https://www.linkedin.com/company/jet-admin/;8;598;https://www.facebook.com/jetadmin.io;234;1
Arengu;https://www.crunchbase.com/organization/arengu;https://www.linkedin.com/company/arengu;1;1000;;0;1
SPATE;https://www.crunchbase.com/organization/spate;https://www.linkedin.com/company/spatenyc/;24;6000;;0;1
Adventurous Co;https://www.crunchbase.com/organization/adventurous-co;;0;0;https://www.facebook.com/adventurousco;;0
Career Karma;https://www.crunchbase.com/organization/career-karma;https://www.linkedin.com/company/career-karma-app;78;18000;https://www.facebook.com/CareerKarmaApp;9700;1
Localyze;https://www.crunchbase.com/organization/localyze;https://www.linkedin.com/company/localyze/;76;14000;https://www.facebook.com/localyze.me/;414;1
Skill Lync;https://www.crunchbase.com/organization/skill-lync;https://www.linkedin.com/company/skill-lync;1282;294000;https://www.facebook.com/edxengine;131000;1
Goodly;https://www.crunchbase.com/organization/goodly;https://www.linkedin.com/company/goodlyapp/;1;1000;https://business.facebook.com/GoodlyBenefit;130;1
Culdesac;https://www.crunchbase.com/organization/culdesac-f070;https://www.linkedin.com/company/liveculdesac/;43;12000;https://www.facebook.com/pg/LiveCuldesac/;1800;1
Coinrule;https://www.crunchbase.com/organization/coinrule;https://www.linkedin.com/company/coinrule;14;3000;https://www.facebook.com/CoinruleHQ;1000;1
Mindset Health;https://www.crunchbase.com/organization/mindset-e7e8;https://www.linkedin.com/company/mindsethealth;43;6000;;0;1
Future Fields;https://www.crunchbase.com/organization/future-fields;https://www.linkedin.com/company/future-fields/;43;6000;;0;1
Kunduz;https://www.crunchbase.com/organization/kunduz;https://www.linkedin.com/company/kunduz/;738;13000;https://www.facebook.com/kunduzasor;11000;1
Rebank;https://www.crunchbase.com/organization/rebank;https://www.linkedin.com/company/rebanknow;12;2000;https://www.facebook.com/rebanknow/;;0
Delphia;https://www.crunchbase.com/organization/delphia;https://www.linkedin.com/company/delphia-ai;16;8000;https://www.facebook.com/delphiaAI;1000;1
TRM Labs;https://www.crunchbase.com/organization/trm-labs;https://www.linkedin.com/company/trmlabs;322;60000;https://www.facebook.com/trmlabs/;1000;1
Mutiny;https://www.crunchbase.com/organization/mutinyhq;https://www.linkedin.com/company/mutinyhq;74;20000;https://www.facebook.com/mutinylovesyou;37;1
Heart Aerospace;https://www.crunchbase.com/organization/heart-aerospace;https://www.linkedin.com/company/heart-aerospace/;131;65000;https://www.facebook.com/heartaerospace/;9100;1
Searchlight;https://www.crunchbase.com/organization/searchlight-057a;https://www.linkedin.com/company/searchlight-technologies/;9;3000;https://www.facebook.com/searchlightai;119;1
Nuvocargo;https://www.crunchbase.com/organization/Nuvocargo;https://www.linkedin.com/company/nuvocargo/;86;11000;https://www.facebook.com/nuvocargo/;465;1
BrioHR;https://www.crunchbase.com/organization/briohr;https://www.linkedin.com/company/briohr;51;10000;https://www.facebook.com/briohr/;1400;1
Mobot;https://www.crunchbase.com/organization/team-mobot;https://www.linkedin.com/company/team-mobot/;51;2000;https://www.facebook.com/MobotQA/;3;1
Activeloop;https://www.crunchbase.com/organization/snark-ai;https://www.linkedin.com/company/activeloop;31;6000;https://www.facebook.com/activeloopai;626;1
Zeal;https://www.crunchbase.com/organization/puzzl;https://www.linkedin.com/company/zealdotcom;36;4000;;0;1
BlueCargo;https://www.crunchbase.com/organization/bluecargo;https://www.linkedin.com/company/bluecargo/;39;4000;;0;1
RTHM;https://www.crunchbase.com/organization/rthm;https://www.linkedin.com/company/rthm;25;1000;https://www.facebook.com/HealthRTHM;549;1
Howdy;https://www.crunchbase.com/organization/hurrayforhowdy;https://www.linkedin.com/company/hurrayforhowdy;370;16000;https://www.facebook.com/hurrayforhowdy;891;1
Honeylove;https://www.crunchbase.com/organization/honeylove;https://www.linkedin.com/company/honeylove-sculptware/;113;3000;http://facebook.com/gethoneylove;156000;1
rct AI;https://www.crunchbase.com/organization/rct-ai;https://www.linkedin.com/company/rct-ai;41;2000;;0;1
Wanderlog;https://www.crunchbase.com/organization/travelchime;https://www.linkedin.com/company/wanderlog;13;5000;https://www.facebook.com/GoWanderlog/;1800;1
Mighty Health;https://www.crunchbase.com/organization/mighty-health-4f22;https://www.linkedin.com/company/mightyhealth;16;4000;https://www.facebook.com/mightyhealthapp/;1900;1
Bot MD;https://www.crunchbase.com/organization/botmd;https://www.linkedin.com/company/botmd;33;5000;https://www.facebook.com/botmdio;408;1
Tenderd;https://www.crunchbase.com/organization/tenderd;https://www.linkedin.com/company/tenderd/;72;36000;https://www.facebook.com/tenderdtrack;20;1
Overview.ai;https://www.crunchbase.com/organization/overview-ai;https://www.linkedin.com/company/overview-ai/;48;3000;;0;1
Dagger;https://www.crunchbase.com/organization/dagger-d500;https://www.linkedin.com/company/dagger-io;29;5000;;0;1
Feather_2;https://www.crunchbase.com/organization/popsure;https://www.linkedin.com/company/feather-insurance;54;3000;https://www.facebook.com/featherinsurance;631;1
Flockjay;https://www.crunchbase.com/organization/flockjay;https://www.linkedin.com/company/flockjay/;92;5000;https://facebook.com/flockjayschool;1400;1
Lowkey;https://www.crunchbase.com/organization/lowkey-2a15;https://www.linkedin.com/company/camelot-ai;10;763;https://www.facebook.com/lowkeydotgg/;26;1
Spero Foods;https://www.crunchbase.com/organization/spero-foods-los-angeles-california;https://www.linkedin.com/company/spero-foods/;12;6000;;0;1
Truora;https://www.crunchbase.com/organization/truora;https://www.linkedin.com/company/truora/;210;50000;https://es-la.facebook.com/truora/;1000;1
Lokal;https://www.crunchbase.com/organization/lokal;https://www.linkedin.com/company/lokal-app;878;104000;https://www.facebook.com/pg/lokalapp;23000;1
Endpoint Health;https://www.crunchbase.com/organization/endpoint-health-inc;https://www.linkedin.com/company/endpoint-health/;11;2000;;0;1
ExcepGen;https://www.crunchbase.com/organization/excepgen;https://www.linkedin.com/company/excepgen/;4;1000;;0;1
OpenPhone;https://www.crunchbase.com/organization/openphone;https://www.linkedin.com/company/openphone/;152;19000;https://www.facebook.com/pg/openphoneapp;0;1
Nestor;https://www.crunchbase.com/organization/nestor-cc61;https://www.linkedin.com/company/nestorup;51;35000;https://www.facebook.com/NestorUp;355;1
Verse Medical;https://www.crunchbase.com/organization/verse-medical;https://www.linkedin.com/company/versemedical/;127;3000;;0;1
Anjuna;https://www.crunchbase.com/organization/anjuna;https://www.linkedin.com/company/anjuna-security;35;4000;https://www.facebook.com/anjuna.io;47;1
Oxio;https://www.crunchbase.com/organization/oxio-8919;https://www.linkedin.com/company/oxiointernet/;75;5000;https://www.facebook.com/oxiointernet/;11000;1
Mytos;https://www.crunchbase.com/organization/cytera-cellworks;https://www.linkedin.com/company/mytosbio/;42;5000;;0;1
Lucid Bots;https://www.crunchbase.com/organization/lucid-drone-technologies;https://www.linkedin.com/company/lucid-bots;72;8000;https://www.facebook.com/lucidbots;4000;1
Vimcal;https://www.crunchbase.com/organization/vimcal;https://www.linkedin.com/company/vimcal/;15;2000;;0;1
Demodesk;https://www.crunchbase.com/organization/demodesk;https://www.linkedin.com/company/demodesk;18;10000;https://www.facebook.com/demodeskcom;336;1
Reshape Biotech;https://www.crunchbase.com/organization/reshape-biotech;http://linkedin.com/company/reshape-biotech/;73;10000;https://www.facebook.com/reshapebiotech;142;1
DreamCraft;https://www.crunchbase.com/organization/dreamcraft;https://www.linkedin.com/company/dreamcraft-entertainment-inc/;3;846;;0;1
Paladin Drones;https://www.crunchbase.com/organization/paladin-drones;https://www.linkedin.com/company/paladin-drones/;114;18000;;0;1
Simetrik;https://www.crunchbase.com/organization/simetrik;https://www.linkedin.com/company/simetrikinc;451;30000;https://www.facebook.com/simetrikconciliacion;149;1
Luminate Medical;https://www.crunchbase.com/organization/luminate-medical;https://www.linkedin.com/company/luminate-medical/about/;48;5000;;0;1
Fuzzbuzz;https://www.crunchbase.com/organization/fuzzbuzz;https://www.linkedin.com/company/fuzzbuzz/;2;259;;0;1
Alixia;https://www.crunchbase.com/organization/alixia;https://www.linkedin.com/company/alixia-therapeutics/;6;234;;0;1
Berbix;https://www.crunchbase.com/organization/berbix;https://www.linkedin.com/company/berbix;4;2000;https://www.facebook.com/pg/Berbix/about/?ref=page_internal;0;1
Aviron Interactive;https://www.crunchbase.com/organization/aviron-interactive;https://www.linkedin.com/company/aviron-interactive;64;4000;https://www.facebook.com/avironactive;12000;1
OpenReplay;https://www.crunchbase.com/organization/asayer;https://www.linkedin.com/company/18257552/;111;3000;;0;1
Gen1E Lifesciences;https://www.crunchbase.com/organization/gen1e-lifesciences;https://www.linkedin.com/company/gen1e-lifesciences;17;863;;0;1
Datlo;https://www.crunchbase.com/organization/datlo;https://www.linkedin.com/company/siga-geomarketing;68;6000;;0;1
AmpUp;https://www.crunchbase.com/organization/ampup;;0;0;;0;0
InpharmD;https://www.crunchbase.com/organization/inpharmd;https://www.linkedin.com/company/inpharmd/;39;2000;https://www.facebook.com/Inpharmd/;827;1
GlobeDX;https://www.crunchbase.com/organization/globe-dx;https://www.linkedin.com/company/globe-derivative-exchange;10;412;;0;1
Actiondesk;https://www.crunchbase.com/organization/actiondesk;https://www.linkedin.com/company/actiondesk/;1;1000;https://www.facebook.com/actiondesk/;195;1
Tailor-ED;https://www.crunchbase.com/organization/tailor-ed;https://www.linkedin.com/company/tailor-ed/;6;1000;https://www.facebook.com/tailor.ed.instruction/;1500;1
91Squarefeet;https://www.crunchbase.com/organization/91squarefeet;https://www.linkedin.com/company/91sqft;149;44000;https://www.facebook.com/91sqft;321;1
IcePanel;https://www.crunchbase.com/organization/icepanel;https://www.linkedin.com/company/icepanel/;6;2000;https://www.facebook.com/icepanel/;90;1
Sapling.ai;https://www.crunchbase.com/organization/sapling-ai;https://www.linkedin.com/company/saplingai;1;438;https://www.facebook.com/Sapling-Intelligence-684416121988762/;304;1
CareerTu;https://www.crunchbase.com/organization/careertu;https://www.linkedin.com/company/careertu/;;;;0;0
AnchorUSD;https://www.crunchbase.com/organization/anchorusd;;0;0;;0;0
Neon;https://www.crunchbase.com/organization/bento-club;https://www.linkedin.com/company/bentocart/;7;225;https://www.facebook.com/bentocartsf/;0;1
WorkClout;https://www.crunchbase.com/organization/workclout;https://www.linkedin.com/company/workclout/;3;2000;https://www.facebook.com/workclout/;262;1
Leena AI;https://www.crunchbase.com/organization/leena-ai;https://www.linkedin.com/company/l-e-e-n-a/;277;131000;https://www.facebook.com/Leena-301312863666839/;557;1
Bits;https://www.crunchbase.com/organization/fea-card;https://www.linkedin.com/company/getabit/;41;35000;https://www.facebook.com/getabit;4700;1
Procol;https://www.crunchbase.com/organization/procol;https://www.linkedin.com/company/procoltech/;168;45000;https://www.facebook.com/procoltech/;284;1
Nettrons;https://www.crunchbase.com/organization/nettrons;https://www.linkedin.com/company/nettrons/;1;66;;0;1
Spring in Africa;https://www.crunchbase.com/organization/wallets-africa;https://www.linkedin.com/company/springinafrica;19;6000;https://www.facebook.com/thewalletsafrica;2000;1
Glide Apps;https://www.crunchbase.com/organization/glide-apps;https://www.linkedin.com/company/glideapps/;117;19000;https://www.facebook.com/glideapps;3300;1
Cocoon_2;https://www.crunchbase.com/organization/cocoon-8ab2;https://www.linkedin.com/company/cocoonhq/;2;250;;0;1
Memfault;https://www.crunchbase.com/organization/memfault;https://www.linkedin.com/company/memfault/;58;10000;;0;1
Conta Simples;https://www.crunchbase.com/organization/conta-simples;https://www.linkedin.com/company/contasimples;338;50000;https://www.facebook.com/contasimplesBR;5600;1
Ysplit;https://www.crunchbase.com/organization/ysplit;https://www.linkedin.com/company/letsfuse;2;438;;0;1
Synthetic Minds;https://www.crunchbase.com/organization/synthetic-minds;https://www.linkedin.com/company/synthetic-minds/;2;396;;0;1
NUMI;https://www.crunchbase.com/organization/numi-153c;https://www.linkedin.com/company/hello-numi;35;2000;https://www.facebook.com/pg/NUMI-198031807601294/;10;1
Soteris;https://www.crunchbase.com/organization/soteris;https://www.linkedin.com/company/soteris-inc;7;223;;0;1
Jido Maps;https://www.crunchbase.com/organization/jido-maps;https://www.linkedin.com/company/jido-maps/;2;161;;0;1
Cuanto;https://www.crunchbase.com/organization/cuanto;https://www.linkedin.com/company/cuanto/;10;818;;0;1
Tint.ai;https://www.crunchbase.com/organization/tint-ai;https://www.linkedin.com/company/heytint;51;4000;;0;1
Atmos;https://www.crunchbase.com/organization/atmos-506c;https://www.linkedin.com/company/buildatmos;44;4000;https://www.facebook.com/buildatmos;1300;1
Cherry;https://www.crunchbase.com/organization/cherry-107e;https://www.linkedin.com/company/startcherry/;2;582;https://www.facebook.com/startcherryinc/;2;1
Enerjazz;https://www.crunchbase.com/organization/enerjazz;https://www.linkedin.com/company/enerjazz-technology-solutions;10;1000;;0;1
ReverCare;https://www.crunchbase.com/organization/revercare;https://www.linkedin.com/company/revercare;;;;0;0
Schoolable;https://www.crunchbase.com/organization/schoolable-96d9;https://www.linkedin.com/company/schoolable;28;850;https://www.facebook.com/schoolableHQ/;655;1
Zeta Surgical;https://www.crunchbase.com/organization/zeta-surgical;https://www.linkedin.com/company/zeta-surgical/;9;3000;;0;1
Tappity;https://www.crunchbase.com/organization/tappity;https://www.linkedin.com/company/tappity/;11;392;https://www.facebook.com/tappityapp/;4800;1
Arpio;https://www.crunchbase.com/organization/arpio;https://www.linkedin.com/company/arpio;27;1000;;0;1
Encarte;https://www.crunchbase.com/organization/encarte;https://www.linkedin.com/company/encarte-io;8;44;;0;1
Bensen AI;https://www.crunchbase.com/organization/bensen-ai;https://www.linkedin.com/company/bensen-ai/;2;151;https://www.facebook.com/AIbensen/;86;1
Tajir;https://www.crunchbase.com/organization/tajir;https://www.linkedin.com/company/tajir-app/;246;18000;;0;1
Woody Library;https://www.crunchbase.com/organization/woody-library;;0;0;;0;0
Maitian.ai;https://www.crunchbase.com/organization/maitian-ai;https://www.linkedin.com/company/maitian-ai/;2;51;;0;1
Vectordash;https://www.crunchbase.com/organization/vectordash;https://www.linkedin.com/company/vectordash;2;237;https://www.facebook.com/vectordashGPU/;504;1
Playbook;https://www.crunchbase.com/organization/playbook;;0;0;;0;0
Taobotics;https://www.crunchbase.com/organization/taobotics;https://www.linkedin.com/company/taobotics/;3;47;;0;1
CaseGuide;https://www.crunchbase.com/organization/jet-law;;0;0;;0;0
Pepper;https://www.crunchbase.com/organization/pepper;;0;0;;0;0
Ultralight;https://www.crunchbase.com/organization/ultralight;https://www.linkedin.com/company/ultralight-inc/about/;5;36;;0;1
DevFlight;https://www.crunchbase.com/organization/devflight;;0;0;https://www.facebook.com/DevFlightHQ;;0
Cognition IP;https://www.crunchbase.com/organization/cognition-ip;https://www.linkedin.com/company/cognitionip;11;1000;;0;1
Dbrain;https://www.crunchbase.com/organization/dbrain;https://www.linkedin.com/company/dbrainio/;11;603;https://www.facebook.com/dbrainio/;7800;1
PlayingViral;https://www.crunchbase.com/organization/playingviral;;0;0;;0;0
Midtype;https://www.crunchbase.com/organization/midtype;https://www.linkedin.com/company/midtype/;;;;0;0
Wing It;https://www.crunchbase.com/organization/wing-it;https://www.linkedin.com/company/wingthetrip/;10;21;https://www.facebook.com/gowingit/;0;1
Let’s Do This;https://www.crunchbase.com/organization/let-s-do-this;https://www.linkedin.com/company/lets-do-this/;95;15000;https://www.facebook.com/letsdothisuk/;50000;1
Slite;https://www.crunchbase.com/organization/slite;https://www.linkedin.com/company/slitehq;35;9000;https://www.facebook.com/sliteHQ/;526;1
Pronto;https://www.crunchbase.com/organization/pronto-app;https://www.linkedin.com/company/tupronto;46;616;https://www.facebook.com/ProntoMx/;0;1
Tough Commerce;https://www.crunchbase.com/organization/brokrete;https://www.linkedin.com/company/brokrete;17;2000;https://www.facebook.com/ToughCommerce;231;1
Plane;https://www.crunchbase.com/organization/pilot-5;https://www.linkedin.com/company/planehr/;85;7000;;0;1
Covela;https://www.crunchbase.com/organization/covela;https://www.linkedin.com/company/covela/;2;319;;0;1
Boostly;https://www.crunchbase.com/organization/boostly;https://www.linkedin.com/company/goboostly;59;4000;https://www.facebook.com/GoBoostly/;493;1
SenpAI.GG;https://www.crunchbase.com/organization/senpai-gg;https://www.linkedin.com/company/senpaigg;12;4000;https://www.facebook.com/senpaiggesports;10000;1
Convictional;https://www.crunchbase.com/organization/convictional;https://www.linkedin.com/company/convictional;16;3000;;0;1
Invocable;https://www.crunchbase.com/organization/storyline;https://www.linkedin.com/company/invocablehq;2;119;https://www.facebook.com/invocablehq;0;1
Hedgehog;https://www.crunchbase.com/organization/hedgehog-3704;https://www.linkedin.com/company/hedgehog-app;5;601;;0;1
Ever Loved;https://www.crunchbase.com/organization/ever-loved;https://www.linkedin.com/company/everloved/;4;171;;0;1
Narrator;https://www.crunchbase.com/organization/ai-narrator;https://www.linkedin.com/company/narratorai/;21;3000;https://www.facebook.com/narratorai;9;1
Passiv;https://www.crunchbase.com/organization/passiv;https://www.linkedin.com/company/passiv;2;902;;0;1
Stacker;https://www.crunchbase.com/organization/stacker-79fe;https://www.linkedin.com/company/stackerlabs/;20;7000;https://www.facebook.com/pg/stackerapps/;631;1
64x Bio;https://www.crunchbase.com/organization/64-x-mountain-view-california;https://www.linkedin.com/company/64xbio;24;5000;https://www.facebook.com/64xBio;0;1
CoinTracker;https://www.crunchbase.com/organization/cointracker;https://www.linkedin.com/company/cointracker;93;12000;https://www.facebook.com/cointracker;3600;1
Feroot Security;https://www.crunchbase.com/organization/feroot;https://www.linkedin.com/company/feroot;31;4000;;0;1
EARTH AI;https://www.crunchbase.com/organization/earth-ai;https://www.linkedin.com/company/earth-ai/;32;6000;;0;1
EdenFarm Indonesia;https://www.crunchbase.com/organization/eden-farm-indonesian;https://www.linkedin.com/company/pt-eden-pangan-indonesia;212;59000;https://www.facebook.com/EdenFarmId;1000;1
Acorn Biolabs;https://www.crunchbase.com/organization/acorn-cryotech;https://www.linkedin.com/company/acornbiolabs;39;3000;;0;1
Klarity;https://www.crunchbase.com/organization/klarity;https://www.linkedin.com/company/klarityai/;197;9000;https://www.facebook.com/klaritylaw;517;1
Inscribe;https://www.crunchbase.com/organization/inscribe;https://www.linkedin.com/company/inscribeai;39;5000;;0;1
Aura Vision;https://www.crunchbase.com/organization/aura-vision-labs;https://www.linkedin.com/company/auravisionlabs/;13;1000;https://www.facebook.com/auravisionlabs/;0;1
PullRequest;https://www.crunchbase.com/organization/pullrequest;https://www.linkedin.com/company-beta/22309681/;;;https://www.facebook.com/pullrequestinc;;0
PopSQL;https://www.crunchbase.com/organization/popsql;http://linkedin.com/company/popsql;2;2000;;0;1
CoVerified;https://www.crunchbase.com/organization/coverified;https://www.linkedin.com/company/coverified/;2;358;;0;1
Breadfast;https://www.crunchbase.com/organization/breadfast;https://www.linkedin.com/company/breadfast/;99;172000;https://www.facebook.com/breadfast;411000;1
Pulse_2;https://www.crunchbase.com/organization/pulse-q-a;https://www.linkedin.com/company/pulse.qa/;59;11000;https://www.facebook.com/PulseQandA/;0;1
