company_name;num_female_founders;num_male_founders
Baseline AI;1;1
Baselit;0;3
Basement App;0;2
Basepilot;0;2
Baseplate;1;1
Baserun;1;0
Basilica;0;3
Basis;0;2
Battle Agents;0;1
Battlecard;0;2
Bayesline;0;2
Be Golden;1;0
BeWell Digital;0;2
Beacons;0;4
Beam;0;2
Beanstalk;0;2
Bear Flag Robotics;0;2
BearBuzz;0;2
Beau;1;2
Bedrock;0;1
BeeBettor;0;2
Beek;1;1
Beeper;0;2
BeerMe;0;2
Bego;0;1
Bemlo;0;5
Ben;0;2
Benchify;0;2
Bend;0;2
Benepass;1;2
Bensen AI;0;2
Bento;1;0
Berbix;0;2
Berilium;0;3
Berri AI;0;2
Berry;0;1
Better Financial Corporation;0;2
BetterBasket;0;2
Beyond Aero;1;2
Bicycle AI;0;3
BidSight;0;3
Bifrost;0;2
Bifrost Orbital;0;2
Big Smart AI;0;2
BiggerPicture;1;1
Bikry;0;2
Bilanc;0;1
Bild AI;0;2
Bindwell;0;2
Binks;1;1
BioRender;1;2
Biobot Analytics;2;0
Biocartesian;0;2
Biodock;0;2
Birdie;0;3
BiteSight;0;2
Bits;0;1
Bitstack;0;2
Bizzy;2;0
BlaBla Edtech;0;1
Blacksmith;0;3
Blacktop Hoops;0;3
Blair;0;3
Bland AI;0;2
Blast;0;2
Blaze;1;1
Blaze Payments;0;3
Blee;0;1
BlindPay;0;4
Blink Last Mile;0;4
Blitz;0;1
Blitzllama;0;3
Blixo;0;1
Blockscope;0;2
Blocksfabrik;0;2
Blockspring;0;3
Blok;1;0
Bloom;0;3
Bloom Community;1;0
BloomAPI;0;1
BloomJoy;0;3
Bloomberg Second Measure;1;1
Bloop.ai;0;2
Blue Onion Labs;1;1
BlueCargo;2;1
BlueHill Payments;0;2
BlueLots;0;2
Blueberry Pediatrics;0;2
Bluebirds;0;2
Bluebook;0;6
Bluedot;2;3
Bluelight;0;3
Blume Benefits;0;3
Blushh;1;4
Blyss;0;2
Bobidi;1;1
Bodyport;1;1
BoldVoice;1;1
Bolster;0;2
Bolto;0;3
Bonsai;0;3
Boom Supersonic;0;3
Boost Biomes;0;2
Boostly;0;2
Booth AI;0;2
Bot MD;1;1
Bot Orange;0;2
BotBuilt;0;3
BotCity;0;2
Botin;1;3
Bottomless;1;1
Boundary Layer Technologies;0;2
Boundless Immigration;1;2
Boya;0;2
Bracket;0;3
BrainHi;0;2
Brainbase;0;1
Brainboard;0;2
Bramble;0;3
Branch AI;0;2
Brave Care;0;2
Breadcrumbs.io;0;3
Breadfast;0;3
Breaker;1;1
Breathe Well-being;0;2
Bree;0;2
Brevy;1;2
Brewit;0;3
Brick Health;0;1
BricksAI;0;2
Bridgecard;1;1
Briefer;0;2
BrioHR;0;2
Bristle;0;4
Brite Benefits;0;1
Broad;0;2
Bronco AI;0;2
Brown Foods;1;2
Browser Buddy;0;3
Browser Use;0;2
Bucket Robotics;0;2
Bueno Finance;0;2
Buglife;0;2
Buho Contable;0;2
BuildBuddy;0;2
BuildJet;1;1
