company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Second,1900000.0,,1900000.0,,2023-01-01,1.0,0.0,1,active,1.0,c_00001_00010,1900000.0,1,pre_seed,2023-04-05,1900000.0,1.0,https://www.linkedin.com/company/secondhq,,https://twitter.com/SecondDevHQ,Eric Rowell,"Apps, Software"
Twine,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-08-15,500000.0,3.0,https://www.linkedin.com/company/twinelabs/,https://www.facebook.com/profile.php?id=100095014730522&sk=friends_likes,https://www.twitter.com/useTwine,"Anand Valavalkar, Divyesh Khatri, Omar Imtiaz","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Sales and Marketing, Science and Engineering, Software"
Aqua Voice,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/aqua-voice,,https://twitter.com/aquavoice_,"Finn Brown, Jack McIntire","Information Technology, Internet Services"
Titan AI,500000.0,2.0,500000.0,,2023-01-01,,,8,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-12-06,500000.0,3.0,https://www.linkedin.com/company/titanai,,,"Fabien-Pierre Nicolas, TJ Murphy, Victor Ceitelis","Apps, Artificial Intelligence (AI), Gaming, Mobile, Software"
Remy Security,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/remysec,https://www.facebook.com/profile.php?id=100093885918385,https://twitter.com/remysec,"Kevin Kim, Sten Sjöberg","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
SciPhi,500000.0,,500000.0,,2023-01-01,,,3,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,1.0,https://www.linkedin.com/company/sciphi-ai,,,Owen Colegrove,Information Technology
Shepherd_1,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,3.0,https://www.linkedin.com/company/shepherd-learn/about,,https://twitter.com/ShepherdLearn,"Kehinde Williams, Marcella Imoisili, Moyo Orekoya","Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
emojis.com,500000.0,,500000.0,,2023-01-01,,,3,active,1.0,c_00001_00010,500000.0,1,pre_seed,2025-03-12,500000.0,2.0,https://www.linkedin.com/company/851-inc/,,https://x.com/emojisdotcom,"Alexandru Turcanu, Dylan Player","Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software"
Leafpress,500000.0,,500000.0,,2023-01-01,,,7,active,2.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/getleafpress/,,https://twitter.com/getleafpress,"Devishi Jha, Jianna Liu","Data and Analytics, Hardware, Information Technology, Software"
Surface Labs,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/surface-labs/,,https://twitter.com/surfacelabs_ai,"Arjun Sahai, Saharsh Agrawal","Information Technology, Sales and Marketing, Software"
Spark,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/sparkhqai/,,,"Julia Wu, Tae Hoon Kim","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
CoCrafter,1800000.0,,1800000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,1800000.0,1,pre_seed,2024-03-01,1800000.0,3.0,https://www.linkedin.com/company/cocrafter/,,,"Annabell V., Johannes Lutz, Philipp Rollwage",Real Estate
Diffusion Studio,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-12-04,500000.0,2.0,https://www.linkedin.com/company/diffusionstudio/,,https://x.com/diffusionhq,"Konstantin Paulus, Matthias Ruiz Hamacher","Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Infinity,1900000.0,,1900000.0,,2023-01-01,,,3,active,1.0,c_00001_00010,1900000.0,1,pre_seed,2024-04-03,1900000.0,2.0,https://www.linkedin.com/company/infinityinvest/,,https://twitter.com/Infinityapp_in,"Sidharth Choraria, Sourav Choraria","Financial Services, Payments"
Baseline AI,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/baseline-trials/,,,"Nabil Baugher, Zoe Sheill","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
